time,voltage,current
63.70,3.7566,1.0056
63.80,3.7594,0.9907
63.90,3.7579,0.9980
64.00,3.7544,1.0119
64.10,3.7581,0.9957
64.20,3.7586,0.9900
64.30,3.7548,1.0109
64.40,3.7566,1.0024
64.50,3.7590,0.9907
64.60,3.7568,0.9961
64.70,3.7560,1.0037
64.80,3.7563,1.0030
64.90,3.7561,0.9999
65.00,3.7546,1.0097
65.10,3.7587,0.9897
65.20,3.7584,0.9865
65.30,3.7531,1.0157
65.40,3.7558,0.9989
65.50,3.7580,0.9834
65.60,3.7550,1.0068
65.70,3.7554,1.0015
65.80,3.7556,1.0005
65.90,3.7549,1.0027
66.00,3.7539,1.0018
66.10,3.7558,1.0005
66.20,3.7555,1.0002
66.30,3.7519,1.0141
66.40,3.7570,0.9894
66.50,3.7575,0.9883
66.60,3.7535,1.0078
66.70,3.7540,1.0049
66.80,3.7563,0.9938
66.90,3.7557,0.9951
67.00,3.7527,1.0129
67.10,3.7554,1.0040
67.20,3.7570,0.9919
67.30,3.7547,0.9926
67.40,3.7541,0.9999
67.50,3.7539,1.0040
67.60,3.7540,0.9979
67.70,3.7528,1.0027
67.80,3.7538,1.0062
67.90,3.7556,0.9904
68.00,3.7534,0.9973
68.10,3.7532,1.0024
68.20,3.7531,1.0027
68.30,3.7522,1.0110
68.40,3.7549,0.9900
68.50,3.7554,0.9872
68.60,3.7519,1.0065
68.70,3.7514,1.0091
68.80,3.7535,0.9980
68.90,3.7555,0.9894
69.00,3.7517,1.0068
69.10,3.7528,1.0046
69.20,3.7530,1.0008
69.30,3.7544,0.9948
69.40,3.7531,0.9996
69.50,3.7523,1.0046
69.60,3.7525,0.9999
69.70,3.7512,1.0060
69.80,3.7547,0.9919
69.90,3.7543,0.9891
70.00,3.7505,1.0084
70.10,3.7518,1.0002
70.20,3.7513,1.0011
70.30,3.7504,1.0059
70.40,3.7521,0.9948
70.50,3.7526,0.9948
70.60,3.7511,1.0008
70.70,3.7493,1.0091
70.80,3.7512,1.0021
70.90,3.7542,0.9888
71.00,3.7504,1.0046
71.10,3.7504,1.0024
71.20,3.7505,1.0005
71.30,3.7503,1.0024
71.40,3.7509,0.9992
71.50,3.7535,0.9884
71.60,3.7508,1.0075
71.70,3.7491,1.0126
71.80,3.7530,0.9923
71.90,3.7518,0.9898
72.00,3.7489,1.0068
72.10,3.7490,1.0075
72.20,3.7515,0.9916
72.30,3.7510,0.9951
72.40,3.7474,1.0138
72.50,3.7501,0.9983
72.60,3.7515,0.9926
72.70,3.7489,1.0046
72.80,3.7496,1.0053
72.90,3.7517,0.9910
73.00,3.7494,0.9982
73.10,3.7487,1.0043
73.20,3.7501,0.9999
73.30,3.7513,0.9938
73.40,3.7473,1.0037
73.50,3.7490,1.0094
73.60,3.7504,0.9932
73.70,3.7496,0.9989
73.80,3.7506,0.9970
73.90,3.7483,1.0053
74.00,3.7494,0.9951
74.10,3.7485,1.0000
74.20,3.7481,1.0024
74.30,3.7483,0.9976
74.40,3.7471,1.0122
74.50,3.7503,0.9926
74.60,3.7503,0.9935
74.70,3.7476,1.0015
74.80,3.7474,1.0046
74.90,3.7492,0.9992
75.00,3.7500,0.9913
75.10,3.7462,1.0091
75.20,3.7476,1.0034
75.30,3.7505,0.9888
75.40,3.7476,1.0043
75.50,3.7472,1.0046
75.60,3.7500,0.9916
75.70,3.7474,0.9992
75.80,3.7469,1.0005
75.90,3.7476,1.0034
76.00,3.7476,0.9954
76.10,3.7447,1.0103
76.20,3.7486,0.9975
76.30,3.7493,0.9837
76.40,3.7462,1.0049
76.50,3.7473,0.9983
76.60,3.7471,0.9973
76.70,3.7454,1.0084
76.80,3.7471,0.9986
76.90,3.7468,1.0008
77.00,3.7470,1.0030
77.10,3.7447,1.0056
77.20,3.7484,0.9923
77.30,3.7480,0.9933
77.40,3.7446,1.0132
77.50,3.7467,0.9980
77.60,3.7490,0.9884
77.70,3.7447,1.0053
77.80,3.7459,1.0024
77.90,3.7459,1.0024
78.00,3.7460,0.9999
78.10,3.7436,1.0027
78.20,3.7469,0.9907
78.30,3.7463,0.9957
78.40,3.7435,1.0053
78.50,3.7454,0.9992
78.60,3.7458,0.9986
78.70,3.7445,1.0030
78.80,3.7446,1.0030
78.90,3.7452,1.0018
79.00,3.7452,0.9983
79.10,3.7433,1.0056
79.20,3.7467,0.9910
79.30,3.7456,0.9926
79.40,3.7424,1.0091
79.50,3.7453,1.0040
79.60,3.7448,1.0024
79.70,3.7472,0.9856
79.80,3.7436,1.0056
79.90,3.7442,0.9986
80.00,3.7446,0.9996
80.10,3.7427,1.0021
80.20,3.7447,0.9983
80.30,3.7444,0.9986
80.40,3.7439,1.0065
80.50,3.7449,0.9972
80.60,3.7439,0.9996
80.70,3.7444,1.0027
80.80,3.7421,1.0053
80.90,3.7454,0.9929
81.00,3.7445,0.9957
81.10,3.7414,1.0094
81.20,3.7432,0.9996
81.30,3.7459,0.9878
81.40,3.7411,1.0103
81.50,3.7429,0.9964
81.60,3.7430,1.0007
81.70,3.7433,0.9980
81.80,3.7407,1.0075
81.90,3.7430,0.9945
82.00,3.7438,0.9935
82.10,3.7409,1.0059
82.20,3.7425,0.9999
82.30,3.7422,0.9942
82.40,3.7426,1.0027
82.50,3.7416,1.0068
82.60,3.7420,1.0024
82.70,3.7437,0.9894
82.80,3.7406,1.0091
82.90,3.7418,1.0043
83.00,3.7448,0.9843
83.10,3.7413,1.0068
83.20,3.7416,1.0034
83.30,3.7412,0.9996
83.40,3.7417,0.9992
83.50,3.7404,1.0056
83.60,3.7424,0.9926
83.70,3.7416,0.9961
83.80,3.7390,1.0113
83.90,3.7417,0.9989
84.00,3.7438,0.9884
84.10,3.7399,1.0065
84.20,3.7407,1.0040
84.30,3.7428,0.9942
84.40,3.7416,0.9961
84.50,3.7385,1.0075
84.60,3.7412,1.0011
84.70,3.7420,0.9951
84.80,3.7385,1.0091
84.90,3.7414,0.9961
85.00,3.7432,0.9929
85.10,3.7388,1.0072
85.20,3.7404,1.0072
85.30,3.7429,0.9897
85.40,3.7424,0.9919
85.50,3.7381,1.0084
85.60,3.7406,0.9935
85.70,3.7405,0.9999
85.80,3.7388,1.0040
85.90,3.7411,1.0003
86.00,3.7404,0.9957
86.10,3.7402,0.9989
86.20,3.7396,0.9986
86.30,3.7404,0.9976
86.40,3.7400,1.0015
86.50,3.7389,1.0024
86.60,3.7403,0.9929
86.70,3.7401,0.9999
86.80,3.7375,1.0065
86.90,3.7398,0.9967
87.00,3.7403,0.9972
87.10,3.7398,0.9973
87.20,3.7377,1.0046
87.30,3.7388,0.9992
87.40,3.7388,0.9983
87.50,3.7381,0.9986
87.60,3.7392,0.9989
87.70,3.7393,1.0015
87.80,3.7373,1.0078
87.90,3.7386,1.0021
88.00,3.7383,1.0018
88.10,3.7391,1.0014
88.20,3.7370,1.0065
88.30,3.7390,0.9942
88.40,3.7393,0.9964
88.50,3.7372,1.0049
88.60,3.7384,1.0011
88.70,3.7381,1.0021
88.80,3.7369,1.0059
88.90,3.7398,0.9891
89.00,3.7389,0.9970
89.10,3.7380,1.0068
89.20,3.7361,1.0014
89.30,3.7388,0.9957
89.40,3.7373,0.9983
89.50,3.7367,1.0040
89.60,3.7376,0.9992
89.70,3.7376,0.9996
89.80,3.7370,1.0018
89.90,3.7362,1.0018
90.00,3.7372,0.9957
90.10,3.7373,0.9970
90.20,3.7361,0.9996
90.30,3.7364,1.0000
90.40,3.7363,1.0015
90.50,3.7346,1.0091
90.60,3.7379,0.9980
90.70,3.7392,0.9894
90.80,3.7364,1.0053
90.90,3.7349,1.0068
91.00,3.7382,0.9945
91.10,3.7372,0.9980
91.20,3.7346,1.0119
91.30,3.7378,0.9964
91.40,3.7393,0.9905
91.50,3.7353,1.0027
91.60,3.7357,1.0084
91.70,3.7370,0.9973
91.80,3.7389,0.9878
91.90,3.7342,1.0068
92.00,3.7362,0.9996
92.10,3.7363,1.0018
92.20,3.7337,1.0116
92.30,3.7384,0.9862
92.40,3.7371,0.9943
92.50,3.7339,1.0122
92.60,3.7356,0.9986
92.70,3.7385,0.9846
92.80,3.7355,0.9986
92.90,3.7333,1.0059
93.00,3.7353,1.0002
93.10,3.7355,0.9976
93.20,3.7345,0.9980
93.30,3.7364,0.9970
93.40,3.7355,0.9948
93.50,3.7342,1.0049
93.60,3.7350,0.9945
93.70,3.7352,0.9976
93.80,3.7348,0.9992
93.90,3.7327,1.0053
94.00,3.7351,1.0015
94.10,3.7352,0.9983
94.20,3.7330,1.0091
94.30,3.7359,0.9973
94.40,3.7350,0.9951
94.50,3.7349,0.9970
94.60,3.7330,1.0049
94.70,3.7342,0.9967
94.80,3.7349,0.9996
94.90,3.7323,1.0068
95.00,3.7339,1.0046
95.10,3.7347,0.9919
95.20,3.7325,1.0037
95.30,3.7338,1.0018
95.40,3.7337,0.9986
95.50,3.7342,0.9983
95.60,3.7323,1.0084
95.70,3.7334,0.9986
95.80,3.7336,0.9970
95.90,3.7323,1.0097
96.00,3.7339,1.0037
96.10,3.7338,1.0002
96.20,3.7316,1.0005
96.30,3.7362,0.9894
96.40,3.7328,0.9983
96.50,3.7333,1.0024
96.60,3.7318,1.0043
96.70,3.7333,0.9983
96.80,3.7331,0.9975
96.90,3.7311,1.0030
97.00,3.7330,1.0005
97.10,3.7336,1.0011
97.20,3.7310,1.0059
97.30,3.7327,1.0002
97.40,3.7349,0.9884
97.50,3.7324,0.9989
97.60,3.7292,1.0157
97.70,3.7327,0.9948
97.80,3.7345,0.9827
97.90,3.7301,1.0077
98.00,3.7327,0.9967
98.10,3.7325,0.9976
98.20,3.7315,1.0015
98.30,3.7297,1.0046
98.40,3.7312,1.0011
98.50,3.7320,1.0037
98.60,3.7300,1.0053
98.70,3.7319,0.9970
98.80,3.7317,0.9996
98.90,3.7297,1.0097
99.00,3.7333,0.9954
99.10,3.7334,0.9878
99.20,3.7306,1.0034
99.30,3.7293,1.0084
99.40,3.7308,0.9989
99.50,3.7311,0.9996
99.60,3.7287,1.0078
